0000000133,   45489 ,  8.2 , A Wednesday (2008)
0000000124,   36725 ,  8.2 , Eskiya (1996)
0000001321,  343635 ,  8.2 , Casino (1995)
0000001222,   46303 ,  8.2 , Judgment at Nuremberg (1961)
0000000123,   32797 ,  8.2 , Hera Pheri (2000)
0000001321,  631896 ,  8.2 , A Beautiful Mind (2001)
0000001222,   65153 ,  8.2 , Smultronstället (1957)
0000001321,  166534 ,  8.2 , The Elephant Man (1980)
0000001222,   55338 ,  8.2 , The General (1926)
0000001221,   85392 ,  8.2 , Incendies (2010)
0000001222,  342062 ,  8.1 , Warrior (2011)
0000001222,  816008 ,  8.1 , V for Vendetta (2005)
0000001221,  816079 ,  8.1 , The Wolf of Wall Street (2013)
0000001213,   30656 ,  8.1 , Sunrise: A Song of Two Humans (1927)
0000001113,   26977 ,  8.1 , La passion de Jeanne d'Arc (1928)
0000000124,   33256 ,  8.1 , Sholay (1975)
0000000123,   73923 ,  8.1 , Rang De Basanti (2006)
0000001321,  575828 ,  8.1 , Gran Torino (2008)
0000000222,   44967 ,  8.1 , Munna Bhai M.B.B.S. (2003)
0000001222,  554044 ,  8.1 , The Big Lebowski (1998)
0000001223,   28485 ,  8.1 , Tôkyô monogatari (1953)
0000001321,  110354 ,  8.1 , Dial M for Murder (1954)
0000001221,  238971 ,  8.1 , The Deer Hunter (1978)
0000001321,  483841 ,  8.1 , Trainspotting (1996)
0000001212,  221050 ,  8.1 , Gone with the Wind (1939)
0000001321,  467803 ,  8.1 , Fargo (1996)
0000001321,  717232 ,  8.1 , Finding Nemo (2003)
0000001321,  722740 ,  8.1 , The Sixth Sense (1999)
0000001321,  122881 ,  8.1 , Cool Hand Luke (1967)
0000001222,   89994 ,  8.1 , Rebecca (1940)
0000001222,  267388 ,  8.1 , The Thing (1982)
0000001321,  501626 ,  8.1 , How to Train Your Dragon (2010)
0000001221,  632516 ,  8.1 , No Country for Old Men (2007)
0000001222,  440377 ,  8.1 , Into the Wild (2007)
0000001221,  756718 ,  8.1 , Kill Bill: Vol. 1 (2003)
0000001222,  606279 ,  8.1 , Star Wars: Episode VII - The Force Awakens (2015)
0000001221,  123606 ,  8.1 , Mary and Max (2009)
0000000223,   27659 ,  8.1 , Idi i smotri (1985)
0000001321,  597749 ,  8.1 , Gone Girl (2014)
0000001222,  385187 ,  8.1 , There Will Be Blood (2007)
0000001222,   67118 ,  8.1 , It Happened One Night (1934)
0000001222,  279865 ,  8.1 , Life of Brian (1979)
0000001321,  324547 ,  8.1 , Rush (2013/I)
0000001321,  271446 ,  8.1 , Hotel Rwanda (2004)
0000001321,  299129 ,  8.1 , Platoon (1986)
0000000124,   33436 ,  8.1 , Drishyam (2015)
0000001321,  814692 ,  8.1 , Shutter Island (2010)
0000001222,  106873 ,  8.1 , Network (1976)
0000001222,   27246 ,  8.1 , Le notti di Cabiria (1957)
0000001222,   36556 ,  8.1 , Le salaire de la peur (1953)
0000001321,  229705 ,  8.1 , Spotlight (2015/I)
0000001321,  113743 ,  8.1 , In the Name of the Father (1993)
0000001321,  280137 ,  8.1 , Stand by Me (1986)
0000001321,  156455 ,  8.1 , Butch Cassidy and the Sundance Kid (1969)
0000001222,  588485 ,  8.1 , Mad Max: Fury Road (2015)
0000001221,  116459 ,  8.1 , The Maltese Falcon (1941)
0000001222,   72513 ,  8.1 , Les quatre cents coups (1959)
0000001321,   98685 ,  8.1 , Relatos salvajes (2014)
0000001321,  458316 ,  8.1 , 12 Years a Slave (2013)
0000001222,  166369 ,  8.1 , Ben-Hur (1959)
