title,aka,genres,year,votes,rating
Léon (1994),"['Leon - Der Profi (1995)', 'Leon: The Professional (1995)', 'Léon (1994)', 'Léon (1994)', 'Léon - Der Profi (1995)', 'Léon: The Professional (1994)', 'Léon: The Professional (1994)', 'Léon: The Professional (1995)', 'Léon: The Professional (2000)', 'The Professional (1994)']","['Crime', 'Drama', 'Thriller']",[1994],748995,8.6
WALL·E (2008),"['Trash Planet (2008)', 'WALL-E (2008)', 'WALL·E - Der Letzte räumt die Erde auf (2008)', 'Wall-E (2008)']","['Adventure', 'Animation', 'Family', 'Sci-Fi']",[2008],742972,8.4
The Sixth Sense (1999),"['Il sesto senso (1999)', 'Sixth Sense (1999)', 'The Sixth Sense - Il sesto senso (1999)']","['Drama', 'Mystery', 'Thriller']",[1999],722740,8.1
Finding Nemo (2003),"['Alla ricerca di Nemo (2003)', 'Findet Nemo (2003)', 'Findet Nemo (2003)', 'Finding Nemo (2003)', 'Finding Nemo 3D (2012)']","['Adventure', 'Animation', 'Comedy', 'Family']",[2003],717232,8.2
The Hunger Games (2012),"['Artemis (2011)', 'Die Tribute von Panem - The Hunger Games (2012)', 'Hunger Games (2012)', 'The Hunger Games (2012)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2012],715279,7.3
Iron Man (2008),"['Iron Man (2008)', 'Iron Man (2008)', 'Ironman (2008)', 'Ironman (2008)']","['Action', 'Adventure', 'Sci-Fi']",[2008],713062,7.9
Guardians of the Galaxy (2014),"['Full Tilt (2013)', 'G.O.T.G. (2014)', 'Guardiani della Galassia (2014)']","['Action', 'Adventure', 'Sci-Fi']",[2014],713043,8.1
Star Wars: Episode VI - Return of the Jedi (1983),"['Blue Harvest (1983)', 'Die Rückkehr der Jedi-Ritter (1983)', 'Guerre stellari - Il ritorno dello Jedi (1983)', 'Il ritorno dello Jedi (1983)', 'Return of the Jedi (1983)', 'Revenge of the Jedi (1982)', 'Star Wars VI - Il ritorno dello Jedi (2006)', 'Star Wars VI: Return of the Jedi (1997)', 'Star Wars: Episode VI - Die Rückkehr der Jedi-Ritter (2004)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode VI - Revenge of the Jedi (1983)', 'Star Wars: Episodio VI - Il ritorno dello Jedi (2006)', 'Star Wars: Return of the Jedi (1983)', 'Star Wars: Return of the Jedi (1983)', 'Star Wars: Return of the Jedi (1983)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[1983],704362,8.4
The Truman Show (1998),"['Die Truman Show (1998)', 'Die Truman Show (1998)']","['Comedy', 'Drama', 'Sci-Fi']",[1998],689918,8.1
Up (2009),"['Oben (2009)', 'Up (2009)', 'Up (2009)']","['Adventure', 'Animation', 'Comedy', 'Family']",[2009],689277,8.3
Eternal Sunshine of the Spotless Mind (2004),"['Se mi lasci ti cancello (2004)', 'Vergiss mein nicht (2004)', 'Vergiss mein nicht! (2004)']","['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",[2004],688030,8.3
Reservoir Dogs (1992),"['Cani da rapina (1992)', 'Le iene (1992)', 'Reservoir Dogs (1992)', 'Reservoir Dogs (1992)', 'Reservoir Dogs (1992)', 'Reservoir Dogs (1992)', 'Reservoir Dogs - Wilde Hunde (1992)', 'Reservoir Dogs - Wilde Hunde (1992)']","['Crime', 'Drama', 'Thriller']",[1992],684822,8.4
Raiders of the Lost Ark (1981),"[""I predatori dell'arca perduta (1981)"", 'Indiana Jones (1981)', 'Indiana Jones and the Raiders of the Lost Ark (1981)', 'Indiana Jones and the Raiders of the Lost Ark (1981)', 'Indiana Jones and the Raiders of the Lost Ark (2003)', 'Indiana Jones and the Raiders of the Lost Ark (2003)', ""Indiana Jones e i predatori dell'arca perduta (2003)"", 'Jäger des verlorenen Schatzes (1981)', 'Jäger des verlorenen Schatzes (1991)', 'Raiders of the Lost Ark (1981)', 'Raiders of the Lost Ark (1990)']","['Action', 'Adventure']",[1981],678709,8.5
Sin City (2005),"[""Frank Miller's Sin City (2005)"", 'Sin City (2005)']","['Crime', 'Thriller']",[2005],669701,8.0
The Lion King (1994),"['Der König der Löwen (1994)', 'Der König der Löwen (1994)', 'Il re leone (1994)', 'King of the Jungle (1994)', 'The Lion King 3D (2011)']","['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",[1994],667502,8.5
Slumdog Millionaire (2008),"['Slumdog Millionaire (2008)', 'Slumdog Millionär (2009)', 'The Millionaire (2008)']",['Drama'],[2008],655680,8.0
The Hobbit: An Unexpected Journey (2012),"['Der Hobbit - Eine unerwartete Reise (2012)', 'Lo Hobbit - Un viaggio inaspettato (2012)', 'The Hobbit: An Unexpected Journey (2012)', 'The Hobbit: An Unexpected Journey (2012)', 'The Hobbit: Part 1 (2012)']","['Adventure', 'Fantasy']",[2012],650392,7.9
Toy Story (1995),"['Toy Story (1995)', 'Toy Story - Il mondo dei giocattoli (1996)', 'Toy Story in 3-D (2009)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",[1995],644546,8.3
Jurassic Park (1993),"['JP (1993)', 'Jurassic Park (1993)', 'Jurassic Park (1993)', 'Jurassic Park 3D (1993)']","['Adventure', 'Sci-Fi', 'Thriller']",[1993],634542,8.1
No Country for Old Men (2007),"['No Country for Old Men (2007)', 'No Country for Old Men (2007)', 'Non è un paese per vecchi (2007)']","['Crime', 'Drama', 'Thriller']",[2007],632516,8.1
A Beautiful Mind (2001),"['A Beautiful Mind (2001)', 'A Beautiful Mind (2001)', 'A Beautiful Mind (2001)', 'A Beautiful Mind - Genie und Wahnsinn (2002)']","['Biography', 'Drama']",[2001],631896,8.2
Good Will Hunting (1997),"['Good Will Hunting - Der gute Will Hunting (1998)', 'Will Hunting - Genio ribelle (1997)']",['Drama'],[1997],625730,8.3
