title,aka,genres,year,votes,rating
Zero Dark Thirty (2012),"['Kill Bin Laden (2012)', 'Operazione Zero Dark Thirty (2012)', 'Zero Dark Thirty (2012)', 'Zero Dark Thirty (2012)']","['Drama', 'History', 'Thriller']",[2012],220682,7.4
Batman Returns (1992),"['Batman - Il ritorno (1992)', 'Batman 2 (1992)', 'Batmans Rückkehr (1992)', 'Batmans Rückkehr (1992)']",['Action'],[1992],220545,7.0
Sicario (2015),"['Sicario (2015)', 'Sicario (2015)', 'Sicario (2015)', 'Sicario (2015)', 'Sicario the Mexican Hitman (2015)']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",[2015],220169,7.6
3 Idiots (2009),['Three Idiots (2009)'],"['Comedy', 'Drama']",[2009],220164,8.4
Pitch Perfect (2012),"['Pitch Perfect - Die Bühne gehört uns! (2012)', 'Voices (2012)']","['Comedy', 'Music', 'Romance']",[2012],219186,7.2
Pretty Woman (1990),"['$ 3,000 (1990)', 'Pretty Woman (1990)', 'Pretty Woman (1990)']","['Comedy', 'Romance']",[1990],219136,6.9
The Dictator (2012),"['Der Diktator (2012)', ""Finchley's Dream (2011)"", 'Il dittatore (2012)']",['Comedy'],[2012],219086,6.4
The Fugitive (1993),"['Auf der Flucht (1993)', 'Auf der Flucht (1993)', 'Il fuggitivo (1993)']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",[1993],217720,7.8
Angels & Demons (2009),"['Angeli e demoni (2009)', 'Illuminati (2009)', 'Illuminati (2009)', 'Obelisk (2009)']","['Mystery', 'Thriller']",[2009],217454,6.7
Fear and Loathing in Las Vegas (1998),"['Angst und Schrecken in Las Vegas (1998)', 'Fear and Loathing in Las Vegas (1998)', 'Paura e delirio a Las Vegas (1999)']","['Adventure', 'Comedy', 'Drama']",[1998],217228,7.7
Shrek the Third (2007),"['Shrek 3 (2006)', 'Shrek 3 (2007)', 'Shrek Terzo (2007)', 'Shrek der Dritte (2007)', 'Shrek der Dritte (2007)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",[2007],216980,6.1
Step Brothers (2008),"['Fratellastri a 40 anni (2008)', 'Stiefbrüder (2008)']",['Comedy'],[2008],216722,6.9
4: Rise of the Silver Surfer (2007),"['Fantastic 4: Rise of the Silver Surfer (2007)', 'Fantastic 4: Rise of the Silver Surfer (2007)', 'Fantastic Four 2 (2006)', 'Fantastic Four and the Silver Surfer (2006)', 'Fantastic Four: Rise of the Silver Surfer (2007)', 'Fantastic Four: Rise of the Silver Surfer (2007)', 'Fantastic Four: Rise of the Silver Surfer (2007)', 'Fantastic Four: The Next Chapter (2006)', 'I Fantastici 4 e Silver Surfer (2007)', 'The Fantastic Four: Rise of the Silver Surfer (2007)']","['Action', 'Adventure', 'Family', 'Sci-Fi', 'Thriller']",[2007],216440,5.6
28 Weeks Later (2007),"['28 Wochen später (2007)', '28 semanas después (2007)', '28 settimane dopo (2007)']","['Drama', 'Horror', 'Sci-Fi']",[2007],216440,7.0
A Bug's Life (1998),"[""A Bug's Life - Megaminimondo (1999)"", 'Bugs (1997)', 'Das große Krabbeln (1999)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",[1998],216008,7.2
Stardust (2007),"['Der Sternwanderer (2007)', 'Stardust (2007)']","['Adventure', 'Family', 'Fantasy', 'Romance']",[2007],215937,7.7
John Carter (2012),"['A Princess of Mars (2004)', 'Barsoom (2010)', 'John Carter of Mars (2012)', 'John Carter of Mars (2012)', 'John Carter: Zwischen zwei Welten (2012)']","['Action', 'Adventure', 'Sci-Fi']",[2012],215656,6.6
Robin Hood (2010),"['Nottingham (2008)', 'Robin Hood (2010)', 'Robin Hood (2010)']","['Action', 'Adventure', 'Drama', 'History', 'Romance']",[2010],215587,6.7
Hulk (2003),"['Big Green (2003)', 'Hulk (2003)', 'Hulk (2003)', 'The Hulk (2002)']","['Action', 'Sci-Fi']",[2003],215458,5.7
The School of Rock (2003),"['School of Rock (2003)', 'School of Rock (2003)', 'School of Rock (2003)', 'School of Rock (2003)', 'School of Rock (2003)', 'School of Rock (2003)']","['Comedy', 'Family', 'Music']",[2003],215282,7.1
The Big Short (2015),"['La grande scommessa (2015)', 'The Big Short: Inside the Doomsday Machine (2015)']","['Biography', 'Comedy', 'Drama', 'History']",[2015],215071,7.8
Meet the Fockers (2004),"['Meet the Fockers (2004)', 'Meet the Fokkers (2003)', 'Meet the Parents 2 (2002)', 'Meine Frau, ihre Schwiegereltern und ich (2005)', 'Meine Frau, ihre Schwiegereltern und ich (2005)', 'Mi presenti i tuoi? (2005)']","['Comedy', 'Romance']",[2004],215058,6.3
The A-Team (2010),"['A-Team (2010)', 'Das A-Team - Der Film (2010)']","['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",[2010],214593,6.8
The Royal Tenenbaums (2001),"['Die Royal Tenenbaums (2002)', 'Die Royal Tenenbaums (2002)', 'I Tenenbaum (2002)']","['Comedy', 'Drama']",[2001],214324,7.6
Jumanji (1995),[],"['Action', 'Adventure', 'Family', 'Fantasy', 'Thriller']",[1995],214227,6.9
Unknown (2011/I),"['Sans identité (2011)', 'Unknown (2011)', 'Unknown - Senza identità (2011)', 'Unknown Identity (2011)', 'Unknown White Male (2010)']","['Action', 'Mystery', 'Thriller']",[2011],214045,6.9
Apollo 13 (1995),"['Apollo 13 (1995)', 'Apollo 13 (1995)', 'Apollo 13 (1995)', 'Apollo 13 (1995)', 'Apollo 13 (1995)', 'Apollo 13 (1995)', 'Apollo 13 (1995)', 'Apollo 13: The IMAX Experience (1995)']","['Adventure', 'Drama', 'History']",[1995],213748,7.6
Death Proof (2007),"['Death Proof (2007)', 'Death Proof (2007)', 'Death Proof (2007)', 'Death Proof (2007)', 'Death Proof - Todsicher (2007)', 'Grindhouse - A prova di morte (2007)', ""Grindhouse Presents: Quentin Tarantino's Death Proof (2007)"", 'Grindhouse: Death Proof (2007)', ""Quentin Tarantino's Death Proof (2007)"", ""Quentin Tarantino's Thunder Bolt (2007)"", ""Quentin Tarantino's Thunder Bolt! (2007)"", 'Thunder Bolt (2006)']",['Thriller'],[2007],213591,7.1
1408 (2007),"['1408 (2007)', 'Zimmer 1408 (2007)']","['Fantasy', 'Horror']",[2007],213486,6.8
Alien³ (1992),"['Alien 3 (1992)', 'Alien 3 (1992)', 'Alien 3 (1992)', 'Alien 3 (1992)', 'Alien³ (1992)']","['Action', 'Horror', 'Sci-Fi']",[1992],213043,6.4
Underworld (2003),"['Underworld (2003)', 'Underworld (2003)']","['Action', 'Fantasy', 'Thriller']",[2003],212994,7.0
Phone Booth (2002),"[""In linea con l'assassino (2003)"", 'Nicht auflegen! (2003)', 'Nicht auflegen! (2003)', 'Phone Booth (2002)']","['Crime', 'Thriller']",[2002],212549,7.1
Hannibal (2001),"['Hannibal (2001)', 'Hannibal (2001)', 'The Silence of the Lambs 2 (2000)']","['Crime', 'Drama', 'Thriller']",[2001],212093,6.8
Hellboy II: The Golden Army (2008),"['Hellboy 2 (2006)', 'Hellboy 2 - Die goldene Armee (2008)', 'Hellboy 2: The Golden Army (2008)', 'Hellboy: The Golden Army (2008)']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",[2008],211884,7.0
The Patriot (2000),"['Der Patriot (2000)', 'Der Patriot (2000)', 'Il patriota (2000)']","['Action', 'Drama', 'History', 'War']",[2000],211753,7.1
Almost Famous (2000),"['Almost Famous - Fast berühmt (2001)', 'Quasi famosi (2001)', 'Something Real (2000)', 'Stillwater (2000)', 'The Uncool (2000)', 'Untitled Cameron Crowe Project (1999)', 'Untitled: Almost Famous the Bootleg Cut (2000)']","['Adventure', 'Comedy', 'Drama', 'Music']",[2000],211280,7.9
About Time (2013/I),"['Alles eine Frage der Zeit (2013)', 'Questione di tempo (2013)']","['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']",[2013],211110,7.8
Panic Room (2002),"['Panic Room (2002)', 'Panic Room (2002)', 'Safe Room (2002)', 'The Panic Room (2001)']","['Crime', 'Drama', 'Thriller']",[2002],210424,6.8
Lone Survivor (2013),[],"['Action', 'Biography', 'Drama', 'Thriller', 'War']",[2013],210326,7.6
Vanilla Sky (2001),"['Vanilla Sky (2001)', 'Vanilla Sky (2001)', 'Vanilla Sky (2001)']","['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",[2001],210162,6.9
Insidious (2010/I),"['The Astral (2010)', 'The Further (2009)']","['Horror', 'Mystery', 'Thriller']",[2010],210058,6.8
Olympus Has Fallen (2013),"['Attacco al potere - Olympus Has Fallen (2013)', 'Olympus Has Fallen (2013)', 'Olympus Has Fallen - Die Welt in Gefahr (2013)', 'White House Taken (2012)']","['Action', 'Thriller']",[2013],208733,6.5
Notting Hill (1999),"['Notting Hill (1999)', 'Notting Hill (1999)', 'The Notting Hill Project (1998)']","['Comedy', 'Drama', 'Romance']",[1999],208717,7.0
Chronicle (2012),['Chronicle - Wozu bist du fähig? (2012)'],"['Sci-Fi', 'Thriller']",[2012],208130,7.1
Fast & Furious (2009),"['Fast & Furious - Neues Modell. Originalteile. (2009)', 'Fast & Furious - Solo parti originali (2009)', 'Fast & Furious 4 (2009)', 'Fast & Furious 4 (2009)', 'Fast & Furious 4 (2009)', 'Fast and Furious (2009)', 'The Fast and the Furious 4 (2009)']","['Action', 'Crime', 'Thriller']",[2009],208128,6.7
Kick-Ass 2 (2013),"['Kick-Ass 2: Balls to the Wall (2013)', 'Kikku Asu/Jasutisu Fôebâ (2014)']","['Action', 'Comedy', 'Crime']",[2013],208072,6.6
Dredd (2012),"['Dredd (2012)', 'Dredd (2012)', 'Dredd 3D (2012)', 'Judge Dredd (2010)', 'Judge Dredd (2013)']","['Action', 'Sci-Fi']",[2012],208021,7.1
Home Alone 2: Lost in New York (1992),"['Alone Again (1992)', 'Home Alone 2 (1992)', 'Home Alone II: Lost in New York City (1992)', 'Kevin - Allein in New York (1992)', ""Mamma, ho riperso l'aereo - Mi sono smarrito a New York (1992)""]","['Adventure', 'Comedy', 'Family']",[1992],208009,6.6
The Descendants (2011),"['Paradiso amaro (2011)', 'Paradiso amaro (2011)', 'The Descendants - Familie und andere Angelegenheiten (2012)']","['Comedy', 'Drama']",[2011],207816,7.3
Red Dragon (2002),"['Roter Drache (2002)', 'Roter Drache (2002)']","['Crime', 'Drama', 'Thriller']",[2002],207595,7.2
The Grey (2011),"['The Grey (2011)', 'The Grey - Unter Wölfen (2012)']","['Action', 'Adventure', 'Drama', 'Thriller']",[2011],206567,6.8
Total Recall (2012/I),"['Total Recall - Atto di forza (2012)', 'Total Recall: Mémoires programmées (2012)']","['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",[2012],206065,6.3
Non-Stop (2014),"['Non Stop (2013)', 'Non-Stop (2014)', 'Sans arrêt (2014)']","['Action', 'Mystery', 'Thriller']",[2014],205884,7.0
Contact (1997),"['Contact (1997)', 'Contact (1997)']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",[1997],205732,7.4
Battleship (2012),[],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2012],205697,5.9
Zoolander (2001),"['Derek Zoolander (2001)', 'Zoolander (2001)', 'Zoolander (2001)']",['Comedy'],[2001],205403,6.6
Road to Perdition (2002),"['Era mio padre (2002)', 'Road to Perdition (2002)', 'Road to Perdition (2002)', 'Road to Perdition (2002)']","['Crime', 'Drama', 'Thriller']",[2002],204401,7.7
Noah (2014),['Noah (2014)'],"['Action', 'Adventure', 'Drama']",[2014],204381,5.8
Dark Shadows (2012),['Dark Shadows (2012)'],"['Comedy', 'Fantasy', 'Horror']",[2012],203965,6.2
The Adjustment Bureau (2011),"['Der Plan (2011)', 'I guardiani del destino (2011)']","['Romance', 'Sci-Fi', 'Thriller']",[2011],203870,7.1
Office Space (1999),"['Alles Routine (1999)', 'Cubiculos de la oficina (1999)', 'Impiegati... male! (1999)', 'Office Space (1999)']",['Comedy'],[1999],203812,7.8
American Pie 2 (2001),"['American Pie 2 (2001)', 'Secret Disguise (2001)']",['Comedy'],[2001],203728,6.4
Resident Evil (2002),"['Resident Evil (2002)', 'Resident Evil (2002)', 'Resident Evil - Genesis (2002)', 'Resident Evil the Movie (2001)', 'Resident Evil: Ground Zero (2000)']","['Action', 'Horror', 'Sci-Fi']",[2002],202709,6.7
Vicky Cristina Barcelona (2008),"['Midnight in Barcelona (2006)', 'Summer Wedding (2007)', 'Woody Allen Spanish Project (2007)', 'Woody Allen Summer Project 2007 (2007)']","['Drama', 'Romance']",[2008],202606,7.2
Changeling (2008),['Der fremde Sohn (2009)'],"['Biography', 'Crime', 'Drama', 'Mystery', 'Thriller']",[2008],202415,7.8
GoldenEye (1995),"['007 - GoldenEye (1995)', '007: GoldenEye (1995)', 'Agente 007 - GoldenEye (1995)', 'Bond 17 (1995)', 'Golden Eye (1995)', 'GoldenEye (1995)', 'GoldenEye (1995)', 'James Bond 007 - GoldenEye (1995)']","['Action', 'Adventure', 'Thriller']",[1995],201885,7.2
Blow (2001),"['Blow (2001)', 'Blow (2001)', ""Blow: One Man's Life (2001)""]","['Biography', 'Crime', 'Drama']",[2001],201868,7.6
Lincoln (2012),"['Office Seekers (2011)', 'Untitled Steven Spielberg/Abraham Lincoln Project (2006)']","['Biography', 'Drama', 'History', 'War']",[2012],201704,7.4
Sucker Punch (2011),"['Coup interdit (2011)', 'Sucker Punch: The IMAX Experience (2011)']","['Action', 'Fantasy']",[2011],200903,6.1
Van Helsing (2004),"['Van Helsing (2004)', 'Van Helsing (2004)', 'Van Helsing (2004)']","['Action', 'Adventure']",[2004],200752,6.0
The Boondock Saints (1999),"['Der blutige Pfad Gottes (1999)', 'Der blutige Pfad Gottes (1999)', 'Mission des dieux (1999)', 'The Boondock Saints (1999)', 'The Boondock Saints (1999)', 'The Boondock Saints - Giustizia finale (2000)']","['Action', 'Crime', 'Thriller']",[1999],200666,7.9
Crank (2006),['Crank (2006)'],"['Action', 'Crime', 'Thriller']",[2006],200158,7.0
Ice Age: The Meltdown (2006),"['Ice Age 2 (2006)', 'Ice Age 2 (2006)', ""Ice Age 2 - Jetzt taut's (2006)"", 'Ice Age 2: The Meltdown (2006)', 'Ice Age 2: The Meltdown (2006)', 'Ice Age: The Meltdown (2006)', ""L'era glaciale 2 - Il disgelo (2006)""]","['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",[2006],199462,6.9
Scent of a Woman (1992),"['Der Duft der Frauen (1993)', 'Der Duft der Frauen (1993)', 'Scent of a Woman - Profumo di donna (2008)']",['Drama'],[1992],199193,8.0
Gone Baby Gone (2007),"['Gone Baby Gone (2007)', 'Gone Baby gone - Kein Kinderspiel (2007)']","['Crime', 'Drama', 'Mystery', 'Thriller']",[2007],198455,7.7
I Am Number Four (2011),"['I Am Number Four: The IMAX Experience (2011)', 'Ich bin Nummer Vier (2011)', 'Sono il numero quattro (2011)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2011],198365,6.1
Pride & Prejudice (2005),"['Orgoglio e pregiudizio (2006)', 'Orgueil & préjugés (2005)', 'Orgueil et préjugés (2005)', 'Pride & Prejudice (2005)', 'Stolz & Vorurteil (2005)']","['Drama', 'Romance']",[2005],198350,7.8
Dawn of the Dead (2004),"['Dawn of the Dead (2004)', 'Die Nacht der Zombies (2004)', ""L'alba dei morti viventi (2004)"", ""L'armée des morts (2004)"", ""L'aube des morts (2004)"", ""Zack Snyder's Dawn of the Dead (2004)""]","['Action', 'Horror', 'Thriller']",[2004],198239,7.4
RocknRolla (2008),"['Rock n Rolla (2008)', ""Rock'n Rolla (2008)""]","['Action', 'Crime', 'Thriller']",[2008],197978,7.3
Bridge of Spies (2015),"['Bridge of Spies (2015)', 'Bridge of Spies: Der Unterhändler (2015)', 'Il ponte delle spie (2015)', 'St. James Place (2014)', 'Untitled Cold War Spy Thriller (2015)']","['Drama', 'History', 'Thriller']",[2015],197555,7.6
Role Models (2008),"['Big Brothers (2007)', 'Little Big Men (2007)', 'Vorbilder?! (2009)']",['Comedy'],[2008],197325,6.9
The Village (2004),"['Grey (2004)', ""M. Night Shyamalan's The Village (2004)"", 'The Village - Das Dorf (2004)', 'The Village - Das Dorf (2004)', 'The Woods (2003)']","['Drama', 'Mystery', 'Thriller']",[2004],197038,6.5
Atonement (2007),"['Abbitte (2007)', 'Espiazione (2007)', 'Reviens-moi (2007)']","['Drama', 'Mystery', 'Romance', 'War']",[2007],196995,7.8
Pitch Black (2000),"['Nightfall (1998)', 'Pitch Black - Planet der Finsternis (2000)', 'The Chronicles of Riddick: Pitch Black (2000)', 'The Chronicles of Riddick: Pitch Black (2000)']","['Horror', 'Sci-Fi']",[2000],196802,7.1
2 Fast 2 Furious (2003),"['2 Fast 2 Furious (2003)', 'The Fast and the Furious 2 (2002)']","['Action', 'Crime', 'Thriller']",[2003],196408,5.9
Paul (2011),"['Change the Channel! (2011)', 'Paul (2011)', 'Paul - Ein Alien auf der Flucht (2011)']","['Adventure', 'Comedy', 'Sci-Fi']",[2011],196372,7.0
Terminator Genisys (2015),"['Terminator 5 (2015)', 'Terminator: Genesis (2015)']","['Action', 'Adventure', 'Sci-Fi']",[2015],196293,6.5
Blade (1998),"['Blade (1998)', 'Blade (1998)', 'Blade, the Vampire Slayer (1997)']","['Action', 'Horror']",[1998],195857,7.1
Beetlejuice (1988),"['Beetlejuice (1988)', 'Beetlejuice (1988)', 'Beetlejuice (1988)', 'Beetlejuice - Spiritello porcello (1988)', 'Lottergeist Beetlejuice (1988)', 'The Maitlands (1987)']","['Comedy', 'Fantasy']",[1988],195339,7.5
Lethal Weapon (1987),"['Arma letale (1987)', 'Lethal Weapon (1987)', 'Lethal Weapon - Zwei stahlharte Profis (1987)', 'Lethal Weapon - Zwei stahlharte Profis (1991)']","['Action', 'Crime', 'Thriller']",[1987],195142,7.6
Batman Forever (1995),['Batman 3 (1995)'],"['Action', 'Adventure', 'Fantasy', 'Romance']",[1995],194855,5.4
Corpse Bride (2005),"['Corpse Bride - Hochzeit mit einer Leiche (2005)', 'La sposa cadavere (2005)', ""Tim Burton's Corpse Bride (2005)"", ""Tim Burton's Corpse Bride (2005)""]","['Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']",[2005],194813,7.4
The Fountain (2006),"[""L'albero della vita - The Fountain (2006)"", 'La fontaine (2006)', 'The Last Man (2004)']","['Drama', 'Sci-Fi']",[2006],194518,7.3
Don Jon (2013),"['Don Jon (2013)', ""Don Jon's Addiction (2013)"", 'Don Jon: Was Frauen wollen und Männer brauchen (2013)']","['Comedy', 'Drama', 'Romance']",[2013],194516,6.6
Perfume: The Story of a Murderer (2006),"['Das Parfum - Die Geschichte eines Mörders (2006)', 'El perfume, historia de un asesino (2006)', ""Le parfum - Histoire d'un meurtrier (2006)"", 'Perfume (2006)', 'Perfume: The Story of a Murderer (2006)', 'Profumo - Storia di un assassino (2006)']","['Crime', 'Drama', 'Fantasy']",[2006],194499,7.5
The Blair Witch Project (1999),"['Blair Witch Project (1999)', 'The Blair Witch Project - Il mistero della strega di Blair (2000)']",['Horror'],[1999],194177,6.4
Thank You for Smoking (2005),['Thank You for Smoking (2005)'],"['Comedy', 'Drama']",[2005],194171,7.6
21 (2008),"['21 (2008)', '21 - The Movie (2008)', 'Untitled Blackjack Picture (2008)']","['Crime', 'Drama', 'Thriller']",[2008],194159,6.8
Sunshine (2007),"['Sunshine (2007)', 'Sunshine (2007)']","['Adventure', 'Sci-Fi', 'Thriller']",[2007],194059,7.3
The Other Guys (2010),"['Die etwas anderen Cops (2010)', 'Die etwas anderen Cops (2010)', 'I poliziotti di riserva (2010)', 'The B Team (2009)', 'The Back Ups (2009)']","['Action', 'Comedy', 'Crime']",[2010],193965,6.7
True Lies (1994),"['True Lies (1994)', 'True Lies - Wahre Lügen (1994)']","['Action', 'Comedy', 'Thriller']",[1994],193958,7.2
Jerry Maguire (1996),"['Jerry Maguire: Spiel des Lebens (1997)', 'Jerry Maguire: Spiel des Lebens (1997)']","['Comedy', 'Drama', 'Romance', 'Sport']",[1996],193886,7.3
Enemy at the Gates (2001),"['Duell - Enemy at the Gates (2001)', 'Enemy at the Gates (2001)', 'Il nemico alle porte (2001)', 'Stalingrad (2001)', 'Stalingrad - Enemy at the Gates (2001)']","['Drama', 'History', 'War']",[2001],193762,7.6
The Artist (2011/I),"['Beauty Spot (2011)', 'The Artist (2011)']","['Comedy', 'Drama', 'Romance']",[2011],193676,8.0
The Reader (2008),"['Der Vorleser (2009)', 'The Reader - A voce alta (2009)']","['Drama', 'Romance']",[2008],193674,7.6
Batman & Robin (1997),"['Batman & Robin (1997)', 'Batman & Robin (1997)', 'Batman 4 (1997)', 'Batman and Robin (1997)']",['Action'],[1997],193509,3.7
21 Grams (2003),"['21 Gramm (2004)', '21 Gramm (2004)', ""21 grammi - Il peso dell'anima (2003)""]",['Drama'],[2003],193176,7.7
Boogie Nights (1997),"['Boogie Nights (1997)', ""Boogie Nights - L'altra Hollywood (1997)"", 'Pushing Thirteen (1997)']",['Drama'],[1997],192941,7.9
Eastern Promises (2007),"['Eastern Promises (2007)', ""La promessa dell'assassino (2007)"", ""Promesses de l'ombre (2007)"", 'Tödliche Versprechen - Eastern Promises (2007)']","['Crime', 'Mystery', 'Thriller']",[2007],192830,7.7
8 Mile (2002),"['8 Mile (2002)', '8 Mile - Jeder Augenblick ist eine neue Chance (2003)', 'Fight Music (2001)', 'Fight Song (2001)', 'Untitled Detroit Project (2001)']","['Drama', 'Music']",[2002],192802,7.0
Saw II (2005),"['Jigsaw Puzzle 2: 2 Torture (2004)', 'Saw 2 (2005)', 'Saw 2 (2006)', 'Saw II - Das Spiel geht weiter... (2006)', ""Saw II - La soluzione dell'enigma (2006)""]","['Horror', 'Mystery']",[2005],192490,6.6
The Place Beyond the Pines (2012),['Come un tuono (2012)'],"['Crime', 'Drama', 'Thriller']",[2012],192041,7.3
Enemy of the State (1998),"['Der Staatsfeind Nr. 1 (1998)', 'Der Staatsfeind Nr. 1 (1998)', 'Enemy of the State (1998)', 'Nemico pubblico (1999)']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",[1998],191854,7.3
The Ides of March (2011),"['Die Iden des März (2011)', 'Farragut North (2010)', 'Le idi di marzo (2011)', 'The Ides of March - Tage des Verrats (2011)']",['Drama'],[2011],191849,7.1
The World's End (2013),"['La fine del mondo (2013)', 'Wâruzu Endo Yopparai ga Sekai o sukû! (2014)']","['Action', 'Comedy', 'Sci-Fi']",[2013],191743,7.0
Rush Hour (1998),"['Rush Hour (1998)', 'Rush Hour (1998)', 'Rush Hour - Due mine vaganti (2000)']","['Action', 'Comedy', 'Crime', 'Thriller']",[1998],191727,6.9
Walk the Line (2005),"['Cash (2005)', ""Quando l'amore brucia l'anima (2005)"", ""Quando l'amore brucia l'anima (2005)"", 'Walk the Line (2005)']","['Biography', 'Drama', 'Music', 'Romance']",[2005],191500,7.9
Scary Movie (2000),"['I Know What You Did Last Halloween (2000)', 'Scary Movie (2000)', 'Scary Movie - Senza paura, senza vergogna... senza cervello! (2000)', 'Scary Movie - Senza paura, senza vergogna... senza cervello! (2000)', 'Scream If You Know What I Did Last Halloween (2000)']",['Comedy'],[2000],190790,6.2
Dances with Wolves (1990),"['Balla coi lupi (1990)', 'Dances with Wolves (1990)', 'Der mit dem Wolf tanzt (1991)', 'Der mit dem Wolf tanzt (1991)']","['Adventure', 'Drama', 'Western']",[1990],190708,8.0
Seven Psychopaths (2012),"['7 Psychopats (2012)', '7 Psychos (2012)', '7 Psychos (und 1 Shih Tzu) (2012)', '7 psicopatici (2012)']","['Comedy', 'Crime']",[2012],190431,7.2
A History of Violence (2005),"['A History of Violence (2005)', 'A History of Violence (2005)', 'A History of Violence (2005)', 'Une histoire de violence (2005)']","['Crime', 'Drama', 'Thriller']",[2005],190370,7.5
Before Sunrise (1995),"['Before Sunrise - Zwischenstopp in Wien (1995)', ""Prima dell'alba (1995)""]","['Drama', 'Romance']",[1995],190365,8.1
The Man from U.N.C.L.E. (2015),"['Codename U.N.C.L.E. (2015)', 'Operazione U.N.C.L.E. (2015)', 'The Man from UNCLE (2015)']","['Action', 'Adventure', 'Comedy']",[2015],190305,7.3
Room (2015/I),"['Raum (2015)', 'Room - Le monde de Jack (2015)']",['Drama'],[2015],190227,8.2
Disturbia (2007),"['Disturbia (2007)', 'Disturbia - Auch Killer haben Nachbarn (2007)']","['Drama', 'Mystery', 'Thriller']",[2007],189884,6.9
Knowing (2009),"['Know1ng (2009)', 'Know1ng - Die Zukunft endet jetzt (2009)', 'Segnali dal futuro (2009)']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",[2009],189830,6.2
Stranger Than Fiction (2006),"['Killing Harold Crick (2006)', 'Schräger als Fiktion (2007)', 'Schräger als Fiktion (2007)', 'Vero come la finzione (2007)']","['Comedy', 'Drama', 'Fantasy', 'Romance']",[2006],189828,7.6
Lawless (2012),"['Lawless (2012)', 'Lawless - Die Gesetzlosen (2013)', 'The Promised Land (2012)', 'The Wettest County (2012)', 'The Wettest County in the World (2012)']","['Crime', 'Drama']",[2012],189660,7.3
Garden State (2004),"['La mia vita a Garden State (2005)', 'Large (2004)', ""Large's Ark (2003)""]","['Comedy', 'Drama', 'Romance']",[2004],189561,7.6
"Me, Myself & Irene (2000)","['Ich, beide & sie (2000)', 'Io, me & Irene (2000)', 'Me, Myself and Irene (2000)']",['Comedy'],[2000],189154,6.5
Snowpiercer (2013),"['Seolgungnyeolcha (2013)', 'Snowpiercer (2013)', 'Snowpiercer (2013)', 'Snowpiercer (2013)', 'Snowpiercer - le transperceneige (2013)', 'Transperceneige (2010)']","['Action', 'Drama', 'Sci-Fi', 'Thriller']",[2013],189148,7.0
Ender's Game (2013),"[""Ender's Game (2013)"", ""Ender's Game (2013)"", ""Ender's Game - Das große Spiel (2013)""]","['Action', 'Sci-Fi']",[2013],189009,6.7
Kung Fu Panda 2 (2011),['Kung Fu Panda: The Kaboom of Doom (2009)'],"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",[2011],189009,7.3
The Twilight Saga: Breaking Dawn - Part 2 (2012),"['Breaking Dawn - Bis(s) zum Ende der Nacht: Teil 2 (2012)', 'The Twilight Saga: Breaking Dawn - Parte 2 (2012)']","['Adventure', 'Drama', 'Fantasy', 'Romance']",[2012],188985,5.5
Warm Bodies (2013),"[""L'amore prende vita (2013)"", 'Warm Bodies (2013)', 'Zombie malgré lui (2013)']","['Comedy', 'Horror', 'Romance']",[2013],188885,6.9
Dodgeball: A True Underdog Story (2004),"['Dodgeball (2004)', 'Dodgeball: The Movie (2003)', 'Palle al balzo - Dodgeball (2004)', 'Underdogs (2003)', 'Untitled Dodgeball Movie (2003)', 'Untitled Dodgeball Project (2003)', 'Voll auf die Nüsse (2004)', 'Voll auf die Nüsse (2004)']","['Comedy', 'Sport']",[2004],188830,6.7
The Bucket List (2007),"['Das Beste kommt zum Schluss (2008)', 'Non è mai troppo tardi (2008)', 'The Bucket List (2007)']","['Adventure', 'Comedy', 'Drama']",[2007],188726,7.4
Paranormal Activity (2007),[],['Horror'],[2007],188442,6.3
Old School (2003),"['Old School - Wir lassen absolut nichts anbrennen (2003)', 'Old School - Wir lassen absolut nichts anbrennen (2003)']",['Comedy'],[2003],188293,7.2
The Twilight Saga: Eclipse (2010),"['Eclipse (2010)', 'Eclipse - Biss zum Abendrot (2010)', 'The Twilight Saga: Eclipse (2010)', 'The Twilight Saga: Eclipse (2010)', 'The Twilight Saga: Eclipse (2010)', 'The Twilight Saga: Eclipse - The IMAX Experience (2010)', 'Twilight 3 (2010)', 'Twilight: Eclipse (2010)']","['Adventure', 'Drama', 'Fantasy', 'Romance']",[2010],187973,4.9
